@relation StudentPerformanceFactors_new

@attribute Hours_Studied {Medium,Low,High}
@attribute Attendance {Medium,Low,High}
@attribute Parental_Involvement {Low,Medium,High}
@attribute Access_to_Resources {High,Medium,Low}
@attribute Extracurricular_Activities {No,Yes}
@attribute Sleep_Hours {Medium,High,Low}
@attribute Previous_Scores {B,C,A,D}
@attribute Motivation_Level {Low,Medium,High}
@attribute Internet_Access {Yes,No}
@attribute Tutoring_Sessions {Low,Medium,High}
@attribute Family_Income {Low,Medium,High}
@attribute Teacher_Quality {Medium,High,Low}
@attribute School_Type {Public,Private}
@attribute Peer_Influence {Positive,Negative,Neutral}
@attribute Physical_Activity {Medium,Low,High}
@attribute Learning_Disabilities {No,Yes}
@attribute Parental_Education_Level {'High School',College,Postgraduate}
@attribute Distance_from_Home {Near,Moderate,Far}
@attribute Gender {Male,Female}
@attribute Exam_Score {C,B,A}

@data
Medium,Medium,Low,High,No,Medium,B,Low,Yes,Low,Low,Medium,Public,Positive,Medium,No,'High School',Near,Male,C
Low,Low,Low,Medium,No,High,C,Low,Yes,Medium,Medium,Medium,Public,Negative,Medium,No,College,Moderate,Female,C
Medium,High,Medium,Medium,Yes,Medium,A,Medium,Yes,Medium,Medium,Medium,Public,Neutral,Medium,No,Postgraduate,Near,Male,B
Medium,High,Low,Medium,Yes,High,A,Medium,Yes,Low,Medium,Medium,Public,Negative,Medium,No,'High School',Moderate,Male,B
Low,High,Medium,Medium,Yes,Medium,C,Medium,Yes,Medium,Medium,High,Public,Neutral,Medium,No,College,Near,Female,B
Low,High,Medium,Medium,Yes,High,A,Medium,Yes,Medium,Medium,Medium,Public,Positive,Medium,No,Postgraduate,Near,Male,B
Medium,Medium,Medium,Low,Yes,Medium,C,Low,Yes,Low,Low,Medium,Private,Neutral,Low,No,'High School',Moderate,Male,C
Medium,Medium,Low,High,Yes,Medium,D,Medium,Yes,Low,High,High,Public,Negative,Low,No,'High School',Far,Male,C
Low,High,Medium,High,No,Medium,B,High,Yes,Low,Medium,Low,Private,Neutral,Low,No,College,Near,Male,C
Medium,High,Medium,Medium,Yes,High,B,Medium,Yes,Low,High,High,Public,Positive,Medium,No,'High School',Moderate,Male,B
